LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,402
Segment,TrigTime,TimeSinceSegment1
#1,11-Oct-2021 10:06:28,0                 
Time,Ampl
-5.06497e-009,0.00513547
-5.03997e-009,0.00727753
-5.01497e-009,0.0094196
-4.98997e-009,0.0100787
-4.96497e-009,0.00840349
-4.93997e-009,0.0048883
-4.91497e-009,0.00115342
-4.88997e-009,-0.00134566
-4.86497e-009,-0.00194983
-4.83997e-009,-0.000604173
-4.81497e-009,0.00266385
-4.78997e-009,0.00719515
-4.76497e-009,0.0119187
-4.73997e-009,0.0145825
-4.71497e-009,0.0130996
-4.68997e-009,0.00757962
-4.66497e-009,0.000796409
-4.63997e-009,-0.00367996
-4.61497e-009,-0.00370742
-4.58997e-009,-0.000164774
-4.56497e-009,0.00389966
-4.53997e-009,0.00609665
-4.51497e-009,0.00634381
-4.48997e-009,0.00606919
-4.46497e-009,0.00637127
-4.43997e-009,0.00752469
-4.41497e-009,0.0083211
-4.38997e-009,0.00804648
-4.36497e-009,0.007305
-4.33997e-009,0.007305
-4.31497e-009,0.00873304
-4.28997e-009,0.011287
-4.26497e-009,0.0132094
-4.23997e-009,0.0132369
-4.21497e-009,0.0116166
-4.18997e-009,0.00939214
-4.16497e-009,0.00807394
-4.13997e-009,0.00804648
-4.11497e-009,0.0085408
-4.08997e-009,0.00867811
-4.06497e-009,0.00878796
-4.03997e-009,0.00983153
-4.01497e-009,0.0121384
-3.98997e-009,0.01461
-3.96497e-009,0.0148572
-3.93997e-009,0.0114244
-3.91497e-009,0.00538263
-3.88997e-009,-8.23872e-005
-3.86497e-009,-0.00227938
-3.83997e-009,-0.000768947
-3.81497e-009,0.00230684
-3.78997e-009,0.00466861
-3.76497e-009,0.00573964
-3.73997e-009,0.0064262
-3.71497e-009,0.00782678
-3.68997e-009,0.010216
-3.66497e-009,0.0123855
-3.63997e-009,0.0135115
-3.61497e-009,0.0137312
-3.58997e-009,0.0132094
-3.56497e-009,0.0119461
-3.53997e-009,0.0101885
-3.51497e-009,0.00788171
-3.48997e-009,0.00521785
-3.46497e-009,0.0032131
-3.43997e-009,0.00252654
-3.41497e-009,0.00313071
-3.38997e-009,0.00521785
-3.36497e-009,0.00851334
-3.33997e-009,0.0115342
-3.31497e-009,0.0130721
-3.28997e-009,0.0127425
-3.26497e-009,0.0106279
-3.23997e-009,0.00870558
-3.21497e-009,0.00881543
-3.18997e-009,0.0106554
-3.16497e-009,0.0121933
-3.13997e-009,0.0115891
